,Tribunal,government,Décheterie,public,Departement,Mairie,beauty,arts_centre,cinema,music_school,community_centre,library,museum,theatre,alcohol,bakery,bank,butcher,car,cheese,chocolate,deli,florist,greengrocer,hairdresser,laundry,marketplace,optician,pastry,pharmacy,seafood,supermarket,tobacco,College,Crèche,Lycée,Maternelle,Primaire,University,bar,cafe,casino,commercial,fast_food,food_court,nightclub,pub,restaurant,zoo,dentist,doctors,hospital,laboratory,attraction,hotel,office,park,playground,Pompier,police,post_office,platform,station,church,mosque,cathedral,antiques,books,clothes,convenience,cosmetics,electronics,fashion_accessories,furniture,garden_centre,interior_decoration,jewelry,mall,music,musical_instrument,perfumery,retail,shoes,tea,travel_agency,vacant,vacuum_cleaner,watches,wine,bicycle_parking,bicycle_rental,fitness_centre,sports,sports_centre,sports_hall,swimming_pool,Prix m2,lat,lon
6196,1,0,0,0,0,0,4,2,1,3,5,1,4,2,5,15,0,13,2,4,1,6,1,3,19,1,2,7,6,11,3,13,3,0,3,5,3,4,4,52,35,0,0,57,0,2,2,61,0,7,1,3,2,6,3,1,9,16,2,1,5,58,5,2,2,0,0,5,11,2,2,1,0,1,1,1,3,1,2,2,0,5,2,1,4,1,0,1,0,260,22,5,2,8,0,0,3106.5,50.620094,3.057617
6197,0,1,0,1,2,4,30,2,4,2,2,2,6,7,12,36,0,4,0,4,13,19,11,1,73,0,0,33,8,22,1,27,1,3,6,3,2,3,32,167,90,1,1,139,3,7,13,304,0,37,14,0,6,187,43,5,4,4,1,3,6,57,6,6,0,1,3,27,210,1,13,0,4,0,0,20,38,2,5,6,8,16,48,5,21,1,0,5,3,397,37,10,11,2,0,0,6853.15,50.63337,3.064282
6198,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,4,0,0,1,0,3,0,1,0,1,0,0,1,1,0,3,2,0,0,3,0,0,0,2,0,1,2,0,1,0,0,1,4,9,0,0,1,19,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,6,0,0,0,2,0,2,3499.81,50.638409,2.987082
6199,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2672.94,50.61637,3.106319
6200,0,0,0,1,0,0,0,2,0,0,2,1,1,2,0,10,0,2,1,0,0,0,1,0,11,3,0,0,0,7,0,2,0,2,2,2,3,3,0,2,11,0,0,15,0,0,1,12,0,0,5,0,1,0,2,0,2,6,0,0,1,31,2,3,1,0,1,0,2,2,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,102,9,1,0,1,0,1,2610.2,50.623663,3.092512
6201,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,3,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,2,3,17,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,1,0,0,2,1,0,1642.31,50.604682,3.056488
6202,0,0,1,0,0,0,2,1,0,0,2,2,0,0,0,9,0,3,2,0,0,0,1,2,4,0,0,2,0,6,1,5,3,0,3,3,6,5,3,5,9,0,0,22,0,0,1,13,0,3,0,6,2,0,1,6,5,28,0,1,2,46,4,2,2,0,0,2,5,0,1,0,0,0,0,1,2,1,0,0,0,4,1,0,2,0,0,0,0,125,9,2,1,6,0,0,2711.89,50.614769,3.047417
6203,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,8,0,1,1,0,0,0,1,0,7,2,0,1,0,6,0,2,0,2,0,1,2,3,0,1,12,0,0,12,0,0,0,4,0,1,5,0,1,0,0,0,3,9,0,0,1,28,3,3,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,85,6,1,0,0,0,0,1862.41,50.622294,3.099445
6204,1,1,0,0,1,0,10,1,0,1,1,1,3,0,7,15,0,4,0,3,9,14,7,0,22,0,1,14,5,6,2,4,0,0,1,2,2,2,6,81,35,0,0,37,0,1,3,154,1,22,2,0,1,138,9,8,10,11,0,0,3,26,0,2,0,1,3,6,133,0,6,0,3,0,0,14,29,1,0,7,5,5,27,3,6,0,0,4,3,147,19,0,2,3,0,2,3208.87,50.644291,3.055833
6205,1,2,0,0,1,0,27,1,3,1,2,2,5,2,9,31,0,5,0,3,13,18,9,1,51,0,1,29,7,15,2,17,0,1,2,5,2,2,24,143,76,0,1,114,2,7,7,274,0,34,6,0,4,214,38,9,7,7,0,1,7,52,4,5,0,1,3,20,198,1,12,0,4,0,0,19,35,2,3,8,8,15,44,4,17,1,0,5,4,283,35,7,8,2,0,2,4446.4,50.63974,3.060683
6206,0,1,0,0,3,4,26,2,3,2,2,1,5,4,8,31,0,5,0,3,13,17,8,1,57,0,1,30,7,16,1,18,0,3,5,5,2,1,31,104,77,1,0,115,2,3,6,269,0,29,15,0,3,202,46,9,8,6,0,3,5,45,8,6,0,1,2,21,200,1,13,0,4,0,0,19,35,2,3,6,8,15,46,4,20,1,0,5,3,316,33,7,8,2,0,0,5506.94,50.636875,3.068963
6207,0,1,0,1,0,0,0,5,0,0,3,4,1,2,0,13,0,5,1,0,0,0,1,0,12,3,2,0,0,12,0,6,0,2,4,2,3,4,0,8,15,0,0,19,0,0,3,22,0,0,4,0,1,0,3,3,3,5,1,1,1,34,3,4,1,0,1,0,3,2,0,0,0,0,0,1,1,0,0,1,1,7,0,0,0,0,0,0,0,170,13,1,0,0,0,2,3779.12,50.629084,3.090434
6208,1,0,0,1,0,0,0,3,2,2,4,0,3,2,0,7,0,5,0,1,0,0,0,0,7,1,0,0,2,6,0,4,1,1,2,3,2,5,6,20,14,0,0,31,1,3,2,27,0,7,3,1,2,1,2,0,9,15,1,0,2,43,5,0,2,0,0,1,0,2,0,1,0,1,0,0,1,0,0,1,0,2,2,0,0,1,0,0,0,187,15,2,0,5,0,0,2758.67,50.618814,3.072124
6209,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,1,0,4,0,0,2,0,4,0,2,0,1,0,0,1,1,0,3,1,0,0,3,0,0,0,3,0,0,2,0,1,0,0,2,5,10,0,0,1,20,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,6,0,0,1,0,0,0,0,6,0,0,0,2,0,2,4622.18,50.638622,2.982726
6210,0,0,0,0,0,1,1,0,0,0,6,2,0,2,0,5,0,4,0,0,0,0,1,0,5,1,0,1,0,5,0,3,0,3,0,0,2,2,0,7,7,0,0,6,0,0,2,6,0,1,2,0,1,0,0,0,8,7,0,0,1,20,4,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,90,5,1,0,4,0,0,2514.77,50.629912,3.11204
6211,0,0,1,0,0,0,2,1,0,0,2,2,0,0,0,10,0,3,2,0,0,0,1,2,4,0,0,2,0,6,1,5,2,0,3,3,5,6,3,5,8,0,0,20,0,0,1,13,0,3,0,7,3,0,1,6,5,28,0,1,2,47,4,2,1,0,0,1,5,0,1,0,0,0,0,1,2,1,0,0,0,4,1,0,2,0,0,0,0,121,8,2,1,6,0,0,3738.26,50.614804,3.04613
6212,1,0,0,1,0,0,10,2,0,4,4,3,2,4,7,22,0,14,3,3,1,7,6,4,36,2,2,10,5,16,3,19,4,3,2,3,2,5,18,76,38,0,0,67,0,1,9,104,0,16,3,3,4,9,3,5,4,19,1,2,7,52,5,4,1,0,1,6,20,2,2,0,0,1,1,2,6,1,4,4,0,11,4,2,6,1,0,1,0,267,26,8,4,7,0,0,3913.41,50.623795,3.049659
6213,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,4,0,0,1,0,0,0,0,0,4,2,0,0,0,3,0,1,0,0,0,0,2,1,0,1,6,0,0,9,0,0,0,1,0,0,4,0,1,0,0,0,2,9,0,0,1,25,1,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,50,4,1,0,0,0,0,3002.88,50.620363,3.09925
6214,0,0,0,1,0,0,2,2,0,1,3,1,1,0,2,12,0,5,2,1,0,3,4,2,7,2,0,2,1,8,1,5,1,4,3,1,2,5,8,16,19,0,0,17,0,0,1,28,0,7,3,2,0,4,0,2,3,25,0,0,6,40,3,2,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,9,0,1,0,0,0,0,0,141,13,2,1,5,0,1,4534.32,50.624432,3.035194
