,id_parcelle,code_type_local,lon,lat,adresse_complete,prix_m2
131,593503550C4329,1.0,3.017307,50.640513,11 AV DE LA REPUBLIQUE LOMME 59160,2370.43
132,593503550C4308,2.0,3.01818,50.641032,355 AV DE DUNKERQUE LOMME 59160,9599.34
133,593503550C4264,1.0,3.016657,50.641005,11 RUE DU COEUR JOYEUX 59160,4836.17
134,593503550C4263,1.0,3.016568,50.640999,13 RUE DU COEUR JOYEUX 59160,3769.66
135,593503550C4245,1.0,3.008126,50.636799,5 RUE ANCIENNE BALATERIE 59160,3484.17
136,593503550C4241,1.0,3.007983,50.636961,9 RUE ANCIENNE BALATERIE 59160,2849.66
137,593503550C4240,1.0,3.007949,50.637056,11 RUE ANCIENNE BALATERIE 59160,4303.31
138,593503550C4220,1.0,3.006968,50.637598,68 RUE JULES GUESDE LOMME 59160,2347.02
139,593503550C4202,1.0,3.007928,50.634986,10 RUE GUSTAVE DELORY LOMME 59160,2516.67
140,593503550C4198,1.0,3.007756,50.635113,18 RUE GUSTAVE DELORY LOMME 59160,2492.73
141,593503550C4197,1.0,3.007708,50.63515,20 RUE GUSTAVE DELORY LOMME 59160,2565.94
142,593503550C4194,1.0,3.007614,50.635258,26 RUE GUSTAVE DELORY LOMME 59160,2066.94
143,593503550C4190,1.0,3.007449,50.635384,34 RUE GUSTAVE DELORY LOMME 59160,3139.71
144,593503550C4171,1.0,3.006484,50.636102,74 RUE GUSTAVE DELORY LOMME 59160,2723.98
145,593503550C4152,1.0,3.016399,50.638286,83 RUE DU VINGTIEME SIECLE 59160,2413.8
146,593503550C4100,1.0,3.002812,50.631103,1 RUE DU PARADIS 59160,2378.26
147,593503550C4089,1.0,3.017987,50.636273,14 RUE HENRI GHESQUIERE LOMME 59160,2509.5
148,593503550C4076,1.0,3.017255,50.637116,48 RUE HENRI GHESQUIERE LOMME 59160,2779.57
149,593503550C4072,1.0,3.017587,50.637265,59 RUE JEAN JAURES LOMME 59160,3386.24
150,593503550C4053,1.0,3.009429,50.633333,55 RUE MARTYRS DE RESISTANCE 59160,2715.82
151,593503550C4050,1.0,3.016511,50.640587,26 AV DE LA REPUBLIQUE LOMME 59160,2385.6
152,593503550C4040,1.0,3.007063,50.63247,7 RUE VICTOR HUGO LOMME 59160,1946.01
153,593503550C4022,1.0,3.003478,50.632271,10 RUE KUHLMANN LOMME 59160,2654.55
154,593503550C3996,1.0,3.009701,50.633606,65 RUE MARTYRS DE RESISTANCE 59160,2417.6
155,593503550C3979,1.0,3.011782,50.640057,10 RUE DE L HOTEL DE VILLE 59160,3231.68
156,593503550C3978,1.0,3.011847,50.640015,8 RUE DE L HOTEL DE VILLE 59160,2903.25
157,593503550C3967,1.0,3.010429,50.640108,97 AV DE MONT A CAMP LOMME 59160,2028.34
158,593503550C3964,1.0,3.010199,50.640037,101 AV DE MONT A CAMP LOMME 59160,2451.82
159,593503550C3960,1.0,3.010489,50.639845,6 CTR HOTEL DE VIL 59160,1645.8
160,593503550C3957,1.0,3.011989,50.637749,48 RUE ERNEST COUTEAUX LOMME 59160,2791.28
161,593503550C3952,1.0,3.011742,50.637421,38 RUE ERNEST COUTEAUX LOMME 59160,3203.03
162,593503550C3951,1.0,3.011692,50.63738,36 RUE ERNEST COUTEAUX LOMME 59160,2892.43
