Type_OSM,id_OSM,lon,lat,tuple Lat-lon,Catégories,Sous_Cat,name
node,8871476226,3.0653951,50.6364433,"(50.6364433,3.0653951)",Entertainment,restaurant,Le café de Paris
node,7429068422,3.0669231,50.6315895,"(50.6315895,3.0669231)",Daily_Life,bakery,Le Campagn'art
way,46833820,3.0650324,50.6382678,"(50.6382678,3.0650324)",Entertainment,restaurant,Le carnot
way,39574584,3.0170369,50.6283921,"(50.6283921,3.0170369)",Entertainment,cafe,Le Carré d'As
node,2642036232,3.0655605,50.6413913,"(50.6413913,3.0655605)",Entertainment,bar,Le Cartel
node,1893476285,3.0579424,50.6230176,"(50.6230176,3.0579424)",Entertainment,fast_food,Le Casablanca
way,85100221,3.0937218,50.6246052,"(50.6246052,3.0937218)",Entertainment,cafe,Le Cassini
way,84450310,3.0578839,50.6445597,"(50.6445597,3.0578839)",Entertainment,bar,Le Cénacle
node,6305966451,3.0145548,50.6396575,"(50.6396575,3.0145548)",Entertainment,bar,Le Central
node,7444484996,3.0643367,50.6420151,"(50.6420151,3.0643367)",Entertainment,restaurant,Le Cerisier en Ville
way,84448923,3.0565930,50.6455028,"(50.6455028,3.0565930)",Entertainment,restaurant,Le Ch'ti Bello
node,8960358841,3.0614743,50.6289552,"(50.6289552,3.0614743)",Shopping,clothes,Le chalet de Sophie
node,5788114787,3.0090049,50.6465360,"(50.6465360,3.0090049)",Entertainment,restaurant,Le Chalet II
node,8987567601,3.0677555,50.6396568,"(50.6396568,3.0677555)",Entertainment,restaurant,Le Chamarel
node,5343504216,3.0571443,50.6345669,"(50.6345669,3.0571443)",Entertainment,cafe,Le Chambord
node,3009957237,3.0611866,50.6295794,"(50.6295794,3.0611866)",Entertainment,restaurant,Le Chantecler
way,663760149,3.1170661,50.6349105,"(50.6349105,3.1170661)",Culture,theatre,Le Chapito
node,7614742840,3.0556235,50.6289887,"(50.6289887,3.0556235)",Entertainment,restaurant,Le charbon ardent
